userid,track,artist,genre,
107EBCED,Absolutely Africa,Saxomatto,dance,
107EBCED,Re:Re:,Asian Kung-Fu Generation,pop,
107EBCED,One Of Us Is Over 40,Chick Corea Elektric Band,jazz,
107EBCED,Mini Bar,17 Memphis,country,
107EBCED,Stay Down,Julien Baker Phoebe Bridgers & Lucy Dacus,alternative,
107EBCED,Mama (Give Me a Call),Stylo G,dancehall,
107EBCED,Jcb Song,The Lip Singers,pop,
107EBCED,Dream a Little Dream of Me,The Winchester's,rock,
107EBCED,Build Me Up From Bones,Sarah Jarosz,singer,
107EBCED,Море,Дмитрий Евланов,folk,
107EBCED,Aces High,Billy Sheehan,rock,
107EBCED,Come Down,WSTRN,rnb,
107EBCED,Once Upon a Love,Manuel GALVIN,blues,
107EBCED,Blue Hawaii - Sweet Leilani - Aloha oe,Orchester Claudius Alzner,pop,
107EBCED,You Shook Me All Night Long,Hell's Black Roses,soundtrack,
107EBCED,My Answer,Hisao Noguchi,world,
107EBCED,Столько ты не...,Паровоз до Кубы,rusrock,
107EBCED,Stars In My Eyes,The Original Rudeboys,pop,
189AD00F,Quarter Century,DVG,hip,
189AD00F,Century,LavTooMuch,hip,
189AD00F,Akira,22,rock,
189AD00F,Moves Like Jagger,Russian Style Folkestra,world,
189AD00F,Century After Century,Idlewild,pop,
189AD00F,21st Century Heartbeat,Luke Sital-Singh,singer,
189AD00F,Century,Preach,house,
189AD00F,Ximeromata,Konstantinos Argiros,pop,
189AD00F,Century,Strawhorse,rock,
189AD00F,Lighthouse,Iamthemorning,progressive,
1C74A8A5,Disco Dancer,Dan Lewis,house,
1C74A8A5,The Roots,Ralph Good,dance,
1C74A8A5,Ночь,Edgar Ti,rnb,
1C74A8A5,Give It To Me,Gustavo Da Silva,electronic,
1C74A8A5,Vibrations,James Trystan feat. Ryan Stavrou,dance,
1C74A8A5,In My House,Tommy Vee,dance,
1C74A8A5,Time Tonight,Soledrifter,dance,
1C74A8A5,Around Bass,James Bong,dance,
1C74A8A5,Lendrema,Mahaleo,world,
1C74A8A5,Is It Love?,Chili Hifly,electronic,
1C74A8A5,Backup Man,The Blemish,electronic,
1C74A8A5,Saturn,Alys Be,electronic,
1C74A8A5,Baked Beans,TQD,electronic,
1C74A8A5,Straight from the Underground,Luca Debonaire,electronic,
1DEFC42A,Brown-Eyed Handsome Man,Ray Pilgrim,rock,
1DEFC42A,Ray Brown's Bass,Bruce Forman,jazz,
1DEFC42A,Wouldn't It Be Loverly? (feat. Ray Brown & Gene Gammage),Oscar Peterson Trio,jazz,
1DEFC42A,To Ray (Dedicated To Mr. Ray Brown),Marcello Sebastiani Fourtet,jazz,
1DEFC42A,Special Lady,Ray Goodman & Brown,rnb,
1DEFC42A,Cannon Bilt,Ray Brown With The All-Star Big Band,jazz,
1DEFC42A,Alice,Ray Brown,jazz,
1DEFC42A,Brown Eyed Girl,Ray Pasnen,pop,
1DEFC42A,Intro: Ray Goodman & Brown,Announcer,rnb,
1DEFC42A,Ooh Baby Baby,Ray Goodman & Brown,rnb,
1DEFC42A,Ray Brown,Foxy Hustler,electronic,
1E337310,The Gods Made Heavy Metal,Paragon,rock,
1E337310,Empty Room,Celesty,rock,
1E337310,Helluvaride,Beggars Ball,rock,
1E337310,Dream; Paralysis,Season of Ghosts,metal,
